original,connected,weight
1,2,0.020912335937500002
2,3,0.023552335937500002
1,4,0.0199523359375
2,5,0.024272335937500004
3,6,0.0228323359375
4,5,0.0233123359375
5,6,0.0254723359375
4,7,0.021536335937499998
7,8,0.024992335937500002
5,8,0.026816335937499998
8,9,0.0264803359375
6,9,0.0246563359375
